13:06:29; Query_time: 3; CPU: 2.22%%; Memory: 12G; Ping: 5.050
13:06:31; Query_time: 7; CPU: 3.17%%; Memory: 12G; Ping: 5.289
13:06:33; Query_time: 5; CPU: 3.5%%; Memory: 12G; Ping: 4.522
13:06:35; Query_time: 4; CPU: 2.46%%; Memory: 12G; Ping: 6.576
13:06:37; Query_time: 4; CPU: 2.34%%; Memory: 12G; Ping: 3.983
13:06:39; Query_time: 4; CPU: 2.22%%; Memory: 12G; Ping: 5.214
13:06:41; Query_time: 373; CPU: 2.46%%; Memory: 12G; Ping: 3.058
13:06:43; Query_time: 7; CPU: 3.99%%; Memory: 12G; Ping: 43.736
13:06:45; Query_time: 30; CPU: 2.23%%; Memory: 12G; Ping: 233.399
13:06:48; Query_time: 3; CPU: 2.45%%; Memory: 12G; Ping: 94.509
13:06:50; Query_time: 3; CPU: 6.0%%; Memory: 12G; Ping: 105.079
13:06:52; Query_time: 6; CPU: 2.23%%; Memory: 12G; Ping: 99.592
13:06:54; Query_time: 6; CPU: 2.81%%; Memory: 12G; Ping: 98.502
13:06:56; Query_time: 4; CPU: 3.64%%; Memory: 13G; Ping: 109.293
13:06:58; Query_time: 156; CPU: 3.6%%; Memory: 13G; Ping: 163.080
13:07:00; Query_time: 26; CPU: 2.33%%; Memory: 12G; Ping: 183.706
13:07:02; Query_time: 12; CPU: 2.46%%; Memory: 12G; Ping: 199.665
13:07:04; Query_time: 6; CPU: 2.56%%; Memory: 12G; Ping: 78.806
13:07:06; Query_time: 23; CPU: 5.18%%; Memory: 12G; Ping: 38.969
13:07:08; Query_time: 3; CPU: 3.41%%; Memory: 12G; Ping: 74.858
13:07:10; Query_time: 4; CPU: 2.45%%; Memory: 12G; Ping: 107.643
13:07:12; Query_time: 3; CPU: 2.22%%; Memory: 12G; Ping: 110.400
13:07:15; Query_time: 13; CPU: 2.11%%; Memory: 12G; Ping: 104.322
13:07:17; Query_time: 3; CPU: 2.69%%; Memory: 12G; Ping: 11.565
13:07:19; Query_time: 6; CPU: 3.97%%; Memory: 12G; Ping: 3.945
13:07:20; Query_time: 3; CPU: 2.70%%; Memory: 12G; Ping: 22.544
13:07:22; Query_time: 3; CPU: 2.12%%; Memory: 13G; Ping: 21.797
13:07:24; Query_time: 3; CPU: 3.65%%; Memory: 12G; Ping: 21.963
13:07:26; Query_time: 3; CPU: 2.71%%; Memory: 12G; Ping: 16.604
13:07:28; Query_time: 3; CPU: 3.3%%; Memory: 12G; Ping: 108.119
13:07:30; Query_time: 3; CPU: 2.94%%; Memory: 12G; Ping: 46.513
13:07:32; Query_time: 3; CPU: 2.58%%; Memory: 12G; Ping: 84.530
13:07:34; Query_time: 3; CPU: 2.92%%; Memory: 12G; Ping: 108.382
13:07:36; Query_time: 3; CPU: 2.35%%; Memory: 12G; Ping: 13.394
13:07:38; Query_time: 3; CPU: 3.5%%; Memory: 12G; Ping: 5.833
13:07:40; Query_time: 3; CPU: 1.87%%; Memory: 12G; Ping: 14.632
13:07:42; Query_time: 3; CPU: 1.99%%; Memory: 12G; Ping: 11.536
13:07:44; Query_time: 3; CPU: 6.54%%; Memory: 12G; Ping: 4.442
