12:47:17; Query_time: 4; CPU: 2.70%%; Memory: 12G; Ping: 5.516
12:47:19; Query_time: 7; CPU: 2.24%%; Memory: 12G; Ping: 4.542
12:47:21; Query_time: 6; CPU: 3.44%%; Memory: 12G; Ping: 4.062
12:47:22; Query_time: 16; CPU: 2.81%%; Memory: 12G; Ping: 4.727
12:47:24; Query_time: 5; CPU: 2.69%%; Memory: 12G; Ping: 5.243
12:47:26; Query_time: 4; CPU: 2.12%%; Memory: 12G; Ping: 4.530
12:47:28; Query_time: 8; CPU: 2.47%%; Memory: 12G; Ping: 5.001
12:47:30; Query_time: 6; CPU: 1.77%%; Memory: 12G; Ping: 4.071
12:47:32; Query_time: 5; CPU: 2.94%%; Memory: 12G; Ping: 7.926
12:47:34; Query_time: 8; CPU: 2.34%%; Memory: 12G; Ping: 3.647
12:47:36; Query_time: 12; CPU: 2.56%%; Memory: 12G; Ping: 81.714
12:47:38; Query_time: 3; CPU: 2.59%%; Memory: 12G; Ping: 113.241
12:47:40; Query_time: 3; CPU: 1.99%%; Memory: 12G; Ping: 19.005
12:47:42; Query_time: 3; CPU: 1.88%%; Memory: 12G; Ping: 14.586
12:47:44; Query_time: 3; CPU: 2.94%%; Memory: 12G; Ping: 16.386
12:47:46; Query_time: 277; CPU: 2.11%%; Memory: 12G; Ping: 254.376
12:47:49; Query_time: 30; CPU: 2.68%%; Memory: 12G; Ping: 46.968
12:47:51; Query_time: 4; CPU: 3.39%%; Memory: 12G; Ping: 102.929
12:47:53; Query_time: 25; CPU: 2.93%%; Memory: 12G; Ping: 180.157
12:47:55; Query_time: 3; CPU: 2.22%%; Memory: 12G; Ping: 101.345
12:47:57; Query_time: 3; CPU: 2.58%%; Memory: 12G; Ping: 209.617
12:47:59; Query_time: 7; CPU: 3.38%%; Memory: 12G; Ping: 97.136
12:48:01; Query_time: 3; CPU: 2.22%%; Memory: 12G; Ping: 99.254
12:48:03; Query_time: 3; CPU: 4.59%%; Memory: 12G; Ping: 212.941
12:48:05; Query_time: 4; CPU: 2.46%%; Memory: 12G; Ping: 119.315
12:48:07; Query_time: 165; CPU: 2.46%%; Memory: 12G; Ping: 48.580
12:48:09; Query_time: 3; CPU: 6.47%%; Memory: 12G; Ping: 100.625
12:48:11; Query_time: 4; CPU: 2.69%%; Memory: 12G; Ping: 100.799
12:48:13; Query_time: 2; CPU: 3.16%%; Memory: 12G; Ping: 116.316
12:48:16; Query_time: 7; CPU: 2.46%%; Memory: 12G; Ping: 103.781
12:48:18; Query_time: 3; CPU: 2.69%%; Memory: 12G; Ping: 3.693
12:48:20; Query_time: 6; CPU: 2.93%%; Memory: 12G; Ping: 14.793
12:48:21; Query_time: 3; CPU: 3.40%%; Memory: 12G; Ping: 16.855
12:48:23; Query_time: 3; CPU: 3.65%%; Memory: 12G; Ping: 14.853
12:48:25; Query_time: 3; CPU: 2.47%%; Memory: 12G; Ping: 20.981
12:48:27; Query_time: 3; CPU: 2.9%%; Memory: 12G; Ping: 106.429
12:48:29; Query_time: 5; CPU: 1.76%%; Memory: 12G; Ping: 106.031
12:48:31; Query_time: 5; CPU: 3.15%%; Memory: 12G; Ping: 98.051
12:48:33; Query_time: 3; CPU: 2.81%%; Memory: 12G; Ping: 106.650
12:48:35; Query_time: 3; CPU: 2.81%%; Memory: 12G; Ping: 114.084
