Time,CPU,Memory
13:03:43,1.5,15.6325
13:03:43,10.4,15.715
13:03:44,0.0,15.715
13:03:45,0.8,15.734
13:03:45,3.1,15.696
13:03:46,8.2,15.696
13:03:47,6.9,15.7214
13:03:47,1.5,15.7277
13:03:48,6.8,15.6325
13:03:49,3.9,15.5945
13:03:49,31.6,15.9307
13:03:50,8.5,16.5778
13:03:51,6.6,16.5081
13:03:51,0.8,16.5207
13:03:52,15.9,17.0156
13:03:53,3.1,17.2377
13:03:53,0.8,17.1552
13:03:54,4.4,17.1552
13:03:55,1.5,17.1108
13:03:55,1.5,17.0727
13:03:56,1.5,17.041
13:03:57,11.6,16.9585
13:03:58,1.5,16.9014
13:03:58,0.0,16.9078
13:03:59,2.3,16.9839
13:04:00,1.5,17.4407
13:04:00,0.8,17.3836
13:04:01,1.5,17.3963
13:04:02,3.1,17.9165
13:04:02,0.7,17.9229
13:04:03,2.3,17.9102
13:04:04,15.9,17.9102
13:04:04,0.7,18.1132
13:04:05,4.5,18.0244
13:04:06,0.0,18.0053
13:04:06,0.8,18.3479
13:04:07,3.8,18.3289
13:04:08,0.8,18.3162
13:04:08,14.4,18.5954
13:04:09,5.2,18.5573
13:04:10,0.0,18.5509
13:04:11,6.9,18.608
13:04:11,3.7,19.0966
13:04:12,3.0,19.0395
13:04:13,1.5,19.0395
13:04:13,11.5,16.9141
13:04:14,1.5,16.8824
13:04:15,0.7,16.9014
13:04:15,8.9,16.9839
13:04:16,1.5,17.4153
13:04:17,1.5,17.4216
13:04:17,1.5,17.428
13:04:18,1.5,17.6247
13:04:19,0.8,17.5803
13:04:19,0.8,17.5866
13:04:20,10.7,17.8213
13:04:21,0.7,17.8467
13:04:21,2.3,17.8531
13:04:22,2.3,17.8087
13:04:23,1.5,18.2845
13:04:23,1.5,18.2845
13:04:24,3.0,18.2908
13:04:25,8.5,18.6207
13:04:26,1.5,18.4938
13:04:26,0.8,18.5065
13:04:27,13.6,18.7096
13:04:28,1.5,18.8999
13:04:28,0.8,18.8428
13:04:29,0.7,18.8428
13:04:30,0.8,19.1537
13:04:30,1.5,19.16
13:04:31,0.8,19.1727
13:04:32,20.0,19.6485
13:04:32,0.8,19.6612
13:04:33,4.5,19.5724
13:04:34,6.0,19.528
13:04:34,0.0,19.8706
13:04:35,3.8,19.8706
13:04:36,2.3,19.8008
13:04:36,14.0,16.8887
13:04:37,3.0,16.8507
13:04:38,1.5,16.8507
13:04:39,3.8,16.857
13:04:39,3.0,17.1298
13:04:40,1.5,17.1171
13:04:41,3.0,17.06
13:04:41,0.8,17.5929
13:04:42,0.0,17.4978
13:04:43,0.7,17.5041
13:04:43,8.5,17.9292
13:04:44,1.5,17.9038
13:04:45,0.7,17.9609
13:04:45,0.8,17.9673
13:04:46,7.6,18.4812
13:04:47,1.5,18.4367
13:04:47,1.5,18.4494
13:04:48,17.8,18.6271
13:04:49,3.0,18.5192
13:04:49,1.5,18.5319
13:04:50,14.9,18.6334
13:04:51,3.9,18.8618
13:04:51,3.9,18.8682
13:04:52,6.1,18.8555
13:04:53,4.5,19.3376
13:04:53,3.8,19.3376
13:04:54,6.8,19.3376
13:04:55,20.3,19.7754
13:04:56,5.3,19.712
13:04:56,4.6,19.7183
13:04:57,8.5,19.7881
13:04:58,4.5,20.1814
13:04:58,3.1,20.1497
13:04:59,6.2,20.1497
13:05:00,13.6,16.8507
13:05:00,2.3,16.8126
13:05:01,6.2,16.7936
13:05:02,3.0,16.7999
13:05:02,1.5,17.2377
13:05:03,1.5,17.244
13:05:04,6.1,17.2186
13:05:04,6.1,17.7769
13:05:05,3.8,17.7325
13:05:06,5.4,17.6754
13:05:06,11.5,18.1132
13:05:07,4.6,18.1576
13:05:08,6.9,18.1132
13:05:08,4.5,18.1132
13:05:09,6.0,18.57
13:05:10,7.0,18.5636
13:05:10,3.1,18.5763
13:05:11,17.7,18.5763
13:05:12,5.3,18.5002
13:05:13,3.8,18.4938
13:05:13,8.5,18.4685
13:05:14,4.5,18.8364
13:05:15,7.6,18.8301
13:05:15,2.4,18.8428
13:05:16,0.8,19.363
13:05:17,8.3,19.2996
13:05:17,1.5,19.3123
13:05:18,10.1,19.5724
13:05:19,6.2,19.528
13:05:19,7.5,19.528
13:05:20,2.3,19.5407
13:05:21,0.8,20.1053
