Time,Query_time,CPU,Memory,Ping
15:38:12,11,5.62,14,3.446
15:38:14,5,7.56,14,2.897
15:38:16,10,5.84,14,5.729
15:38:18,20,5.6,14,5.809
15:38:20,4,7.42,14,4.993
15:38:22,10,6.55,14,7.943
15:38:24,4,7.35,14,4.178
15:38:26,5,6.16,14,3.981
15:38:28,16,7.1,14,4.884
15:38:30,5,6.37,14,3.342
15:38:32,6,6.77,14,3.392
15:38:34,5,5.96,14,3.083
15:38:36,6,6.55,14,14.877
15:38:38,6,6.27,14,6.958
15:38:40,4,6.65,14,25.326
15:38:42,4,5.22,14,12.055
15:38:44,6,4.91,14,2.913
15:38:46,7,5.93,14,4.775
15:38:48,7,6.54,14,67.776
15:38:50,6,5.9,14,6.793
15:38:52,39,6.9,14,3.916
15:38:54,11,4.77,14,4.172
15:38:56,4,5.49,14,9.521
15:38:58,4,5.95,14,13.922
15:39:00,10,6.84,14,3.276
15:39:02,5,5.39,14,10.957
15:39:04,6,5.57,14,6.039
15:39:06,10,5.0,14,5.396
15:39:08,6,4.77,14,8.382
15:39:10,13,6.3,14,3.264
15:39:12,11,5.23,14,17.047
15:39:14,5,5.61,14,3.923
15:39:16,12,4.67,14,13.359
15:39:18,6,6.54,14,6.224
15:39:20,7,5.49,14,10.29
15:39:22,23,5.13,14,11.78
15:39:24,38,6.67,14,38.336
15:39:26,47,6.89,14,56.681
15:39:28,258,6.57,14,46.849
15:39:30,76,6.39,14,12.113
15:39:32,102,6.13,14,76.574
15:39:35,126,6.19,14,35.693
15:39:37,76,6.4,14,48.869
15:39:39,185,4.67,14,70.531
15:39:41,200,6.3,14,35.098
15:39:43,70,7.95,14,46.861
15:39:45,137,5.73,14,50.593
15:39:48,128,6.19,14,20.764
15:39:50,206,5.88,14,18.659
15:39:57,228,5.47,14,62.108
15:39:59,137,6.3,14,54.008
15:40:01,162,6.5,14,10.334
15:40:09,128,5.73,14,76.602
15:40:11,255,4.97,14,53.696
15:40:13,131,5.94,14,60.47
15:40:15,207,5.49,14,78.476
15:40:17,125,6.18,14,45.941
15:40:20,177,6.42,14,10.513
15:40:27,205,7.14,14,61.118
15:40:29,142,6.22,14,39.051
15:40:31,170,5.73,14,51.012
15:40:33,50,6.36,14,45.008
15:40:36,173,6.55,14,180.958
15:40:38,107,6.13,14,38.298
15:40:40,114,8.6,14,31.956
15:40:42,122,6.19,14,63.895
15:40:44,106,6.69,14,69.228
15:40:47,285,4.69,14,40.655
15:40:49,86,5.35,14,34.994
15:40:51,90,4.9,14,45.041
15:40:53,48,5.86,14,172.863
15:40:55,109,5.51,14,35.005
15:40:57,107,5.84,14,48.237
15:40:59,241,6.14,14,41.064
15:41:02,64,6.89,14,38.092
15:41:04,108,6.41,14,69.842
15:41:06,100,6.47,14,42.342
15:41:08,236,5.49,14,59.434
15:41:10,200,4.65,14,50.61
15:41:22,4,6.6,14,12.82
15:41:24,7,7.12,14,6.183
15:41:26,4,6.18,14,3.759
15:41:28,25,6.42,14,19.632
15:41:30,4,5.6,14,6.86
15:41:32,5,6.3,14,7.774
15:41:34,4,6.18,14,4.501
15:41:36,6,6.33,14,10.767
15:41:38,17,6.9,14,4.592
15:41:40,6,7.63,14,20.458
15:41:42,9,5.5,14,8.226
15:41:44,3,7.8,14,5.226
15:41:46,4,6.19,14,7.24
15:41:48,6,5.59,14,16.034
15:41:50,8,5.0,14,8.023
15:41:52,7,4.55,14,4.713
15:41:54,5,6.8,14,11.689
15:41:56,3,5.72,14,6.845
15:41:58,5,6.54,14,6.076
15:42:00,3,6.27,14,20.259
15:42:02,10,5.86,14,8.553
15:42:04,4,6.6,14,4.064
15:42:06,5,5.32,14,24.645
15:42:08,11,6.41,14,6.583
15:42:10,4,5.58,14,33.144
15:42:12,7,4.9,14,5.099
15:42:14,4,4.88,14,6.312
15:42:16,3,5.56,14,56.436
15:42:18,6,5.3,14,3.196
15:42:20,6,5.72,14,4.257
