Time,CPU,Memory
15:58:50,30.9,41.2448
15:58:50,30.5,41.2575
15:58:51,30.2,41.5937
15:58:52,28.3,41.6572
15:58:53,17.3,41.6635
15:58:53,10.9,41.6635
15:58:54,19.4,42.0949
15:58:55,3.8,42.0442
15:58:55,27.0,41.9997
15:58:56,33.3,42.4819
15:58:57,21.4,42.4883
15:58:57,16.3,42.4883
15:58:58,32.4,41.4414
15:58:59,11.6,41.562
15:58:59,22.8,41.5747
15:59:00,16.0,41.581
15:59:01,24.4,42.152
15:59:01,30.1,42.1647
15:59:02,8.2,42.171
15:59:03,18.9,42.2155
15:59:04,17.8,42.2789
15:59:04,13.1,42.2916
15:59:05,15.9,42.2979
15:59:06,43.8,42.7167
15:59:06,16.4,42.7293
15:59:07,24.8,42.742
15:59:08,18.4,38.0155
15:59:08,23.0,37.9838
15:59:09,13.0,37.9964
15:59:10,11.1,37.9393
15:59:10,21.9,38.3581
15:59:11,11.8,38.3137
15:59:12,18.3,38.3327
15:59:12,26.4,38.7641
15:59:13,22.3,38.7958
15:59:14,30.1,38.8085
15:59:15,30.2,38.891
15:59:15,18.5,39.4049
15:59:16,35.1,39.4112
15:59:17,13.4,39.4239
15:59:17,30.5,39.4557
15:59:18,27.1,39.462
15:59:19,31.4,39.4747
15:59:19,27.1,39.83
15:59:20,29.0,39.8934
15:59:21,29.2,39.8998
15:59:21,31.2,39.849
15:59:22,26.1,40.2868
15:59:23,9.4,40.3058
15:59:23,25.6,40.3819
15:59:24,23.4,40.9275
15:59:25,32.8,40.9656
15:59:25,29.4,40.972
15:59:26,32.9,40.4708
15:59:27,23.9,40.8133
15:59:28,27.0,40.8324
15:59:28,34.6,40.8387
15:59:29,24.6,41.3653
15:59:30,22.0,41.3717
15:59:30,22.6,41.378
15:59:31,47.1,41.6318
15:59:32,33.6,41.9744
15:59:32,36.6,41.9236
15:59:33,20.8,41.93
15:59:34,27.3,41.9807
15:59:34,22.1,41.9934
15:59:35,31.9,42.0061
15:59:36,40.0,42.2979
15:59:36,23.8,42.3741
15:59:37,23.8,42.3868
15:59:38,28.3,42.3994
15:59:39,47.5,42.8816
15:59:39,36.7,42.888
15:59:40,28.1,42.9006
15:59:41,19.7,38.5992
15:59:41,29.3,38.4977
15:59:42,28.6,38.5103
15:59:43,28.7,38.523
15:59:43,17.9,38.4596
15:59:44,18.5,38.4659
15:59:45,15.7,38.4786
15:59:45,28.7,38.8593
15:59:46,10.7,38.8656
15:59:47,20.0,38.872
15:59:47,41.4,39.075
15:59:48,23.5,39.3605
15:59:49,26.1,39.3732
15:59:50,23.8,39.3859
15:59:50,0.8,39.8553
15:59:51,0.7,39.8617
15:59:52,0.7,39.868
15:59:52,13.0,39.7729
15:59:53,1.5,39.7919
15:59:54,0.7,39.7982
15:59:54,3.0,39.8046
15:59:55,0.7,40.2043
15:59:56,0.7,40.2043
15:59:56,0.7,40.2106
15:59:57,0.0,40.6547
15:59:58,0.0,40.6611
15:59:58,0.8,40.6674
15:59:59,15.6,41.1686
16:00:00,0.7,41.213
16:00:00,0.0,41.213
16:00:01,0.7,41.2194
16:00:02,0.7,41.2448
16:00:03,1.5,41.1877
16:00:03,0.7,41.194
16:00:04,10.7,41.6445
16:00:05,1.5,41.6445
16:00:05,0.0,41.6445
16:00:06,7.5,41.5747
16:00:07,0.0,41.7333
16:00:07,0.7,41.7523
16:00:08,2.2,41.7587
16:00:09,1.5,42.2789
16:00:09,0.7,42.2852
16:00:10,0.7,42.2916
16:00:11,11.5,42.6532
16:00:11,0.7,42.6659
16:00:12,1.5,42.6722
16:00:13,2.2,42.6786
16:00:13,1.5,38.4723
16:00:14,0.0,38.4723
16:00:15,0.0,38.4723
16:00:16,12.4,38.5611
16:00:16,0.0,38.5674
16:00:17,0.0,38.4913
16:00:18,9.6,38.669
16:00:18,0.7,38.8593
16:00:19,2.2,38.8783
16:00:20,1.5,38.8847
16:00:20,0.7,39.094
16:00:21,1.5,39.0115
16:00:22,0.7,38.9608
16:00:22,14.2,39.4366
16:00:23,0.7,39.4683
16:00:24,0.7,39.4937
16:00:24,3.0,39.5001
16:00:25,0.7,39.8998
16:00:26,0.7,39.8998
16:00:27,0.0,39.9061
16:00:27,3.7,40.3312
16:00:28,0.0,40.3439
16:00:29,0.7,40.3439
16:00:29,9.8,40.4644
16:00:30,0.0,40.4708
16:00:31,0.0,40.42
16:00:31,0.7,40.42
16:00:32,0.7,40.8133
16:00:33,0.7,40.8197
16:00:33,0.0,40.8324
16:00:34,10.7,41.2638
16:00:35,0.7,41.2765
16:00:35,1.5,41.2828
16:00:36,8.3,41.1369
16:00:37,1.5,41.4034
16:00:37,0.7,41.3526
16:00:38,0.7,41.3019
16:00:39,1.5,41.8158
16:00:40,0.0,41.8158
16:00:40,0.7,41.8221
16:00:41,14.3,42.0632
16:00:42,0.0,42.0632
16:00:42,0.8,42.0632
