
14:43:21; Query_time: 7; CPU: 2.57%%; Memory: 12G; Ping: 33.098
14:43:23; Query_time: 4; CPU: 2.80%%; Memory: 12G; Ping: 33.950
14:43:25; Query_time: 7; CPU: 1.98%%; Memory: 12G; Ping: 38.003
14:43:27; Query_time: 7; CPU: 2.24%%; Memory: 12G; Ping: 33.567
14:43:29; Query_time: 4; CPU: 5.91%%; Memory: 12G; Ping: 32.901
14:43:31; Query_time: 7; CPU: 4.13%%; Memory: 12G; Ping: 59.162
14:43:33; Query_time: 18; CPU: 4.11%%; Memory: 12G; Ping: 78.317
14:43:35; Query_time: 79; CPU: 3.72%%; Memory: 12G; Ping: 33.423
14:43:37; Query_time: 6; CPU: 2.9%%; Memory: 12G; Ping: 36.445
14:43:39; Query_time: 8; CPU: 1.98%%; Memory: 12G; Ping: 41.150
14:43:41; Query_time: 20; CPU: 4.77%%; Memory: 12G; Ping: 54.962
14:43:43; Query_time: 6; CPU: 4.0%%; Memory: 12G; Ping: 33.109
14:43:45; Query_time: 6; CPU: 2.21%%; Memory: 12G; Ping: 32.016
14:43:47; Query_time: 5; CPU: 1.98%%; Memory: 12G; Ping: 33.228
14:43:49; Query_time: 7; CPU: 2.45%%; Memory: 12G; Ping: 31.724
14:43:51; Query_time: 5; CPU: 2.22%%; Memory: 12G; Ping: 33.598
14:43:53; Query_time: 120; CPU: 3.14%%; Memory: 12G; Ping: 150.993
14:43:55; Query_time: 4; CPU: 2.22%%; Memory: 12G; Ping: 34.063
14:43:57; Query_time: 5; CPU: 1.98%%; Memory: 12G; Ping: 40.890
14:43:59; Query_time: 173; CPU: 1.75%%; Memory: 12G; Ping: 31.059
14:44:01; Query_time: 5; CPU: 3.86%%; Memory: 12G; Ping: 31.073
14:44:03; Query_time: 6; CPU: 2.68%%; Memory: 12G; Ping: 30.752
14:44:05; Query_time: 6; CPU: 1.98%%; Memory: 12G; Ping: 30.643
14:44:07; Query_time: 7; CPU: 2.10%%; Memory: 12G; Ping: 30.211
14:44:09; Query_time: 8; CPU: 2.34%%; Memory: 12G; Ping: 34.870
14:44:11; Query_time: 6; CPU: 1.86%%; Memory: 12G; Ping: 31.274
14:44:13; Query_time: 7; CPU: 2.94%%; Memory: 12G; Ping: 32.899
