12:53:14; Query_time: 5; CPU: 2.23%%; Memory: 12G; Ping: 6.355
12:53:16; Query_time: 6; CPU: 3.39%%; Memory: 12G; Ping: 4.066
12:53:18; Query_time: 6; CPU: 2.95%%; Memory: 12G; Ping: 4.621
12:53:20; Query_time: 7; CPU: 2.24%%; Memory: 12G; Ping: 4.230
12:53:22; Query_time: 8; CPU: 2.34%%; Memory: 12G; Ping: 3.211
12:53:24; Query_time: 2; CPU: 2.94%%; Memory: 12G; Ping: 3.022
12:53:26; Query_time: 5; CPU: 3.28%%; Memory: 12G; Ping: 5.492
12:53:28; Query_time: 6; CPU: 3.41%%; Memory: 12G; Ping: 6.290
12:53:30; Query_time: 5; CPU: 2.22%%; Memory: 12G; Ping: 6.223
12:53:32; Query_time: 3; CPU: 2.34%%; Memory: 12G; Ping: 5.143
12:53:34; Query_time: 12; CPU: 2.47%%; Memory: 12G; Ping: 26.337
12:53:36; Query_time: 2; CPU: 2.68%%; Memory: 12G; Ping: 3.417
12:53:38; Query_time: 3; CPU: 2.69%%; Memory: 12G; Ping: 97.988
12:53:40; Query_time: 3; CPU: 3.15%%; Memory: 12G; Ping: 103.758
12:53:42; Query_time: 3; CPU: 2.35%%; Memory: 12G; Ping: 4.095
12:53:44; Query_time: 5; CPU: 2.57%%; Memory: 12G; Ping: 30.115
12:53:46; Query_time: 7; CPU: 2.10%%; Memory: 12G; Ping: 72.013
12:53:48; Query_time: 5; CPU: 2.92%%; Memory: 12G; Ping: 95.423
12:53:50; Query_time: 4; CPU: 2.58%%; Memory: 12G; Ping: 40.136
12:53:52; Query_time: 5; CPU: 3.15%%; Memory: 12G; Ping: 68.020
12:53:54; Query_time: 4; CPU: 3.18%%; Memory: 12G; Ping: 32.297
12:53:56; Query_time: 4; CPU: 3.4%%; Memory: 12G; Ping: 105.109
12:53:58; Query_time: 3; CPU: 4.35%%; Memory: 12G; Ping: 106.277
12:54:00; Query_time: 3; CPU: 2.10%%; Memory: 12G; Ping: 101.021
12:54:02; Query_time: 6; CPU: 1.86%%; Memory: 12G; Ping: 7.758
12:54:04; Query_time: 6; CPU: 3.39%%; Memory: 12G; Ping: 88.971
12:54:06; Query_time: 3; CPU: 3.52%%; Memory: 12G; Ping: 107.082
12:54:08; Query_time: 3; CPU: 3.98%%; Memory: 12G; Ping: 14.326
12:54:10; Query_time: 7; CPU: 3.24%%; Memory: 12G; Ping: 96.058
12:54:12; Query_time: 7; CPU: 2.47%%; Memory: 12G; Ping: 109.644
12:54:14; Query_time: 4; CPU: 2.46%%; Memory: 12G; Ping: 108.443
12:54:16; Query_time: 3; CPU: 2.34%%; Memory: 12G; Ping: 11.952
12:54:18; Query_time: 6; CPU: 3.28%%; Memory: 12G; Ping: 113.013
12:54:20; Query_time: 3; CPU: 2.10%%; Memory: 12G; Ping: 3.609
12:54:22; Query_time: 5; CPU: 2.11%%; Memory: 12G; Ping: 9.550
12:54:24; Query_time: 5; CPU: 2.94%%; Memory: 12G; Ping: 13.633
12:54:26; Query_time: 6; CPU: 2.23%%; Memory: 12G; Ping: 11.746
12:54:28; Query_time: 3; CPU: 2.80%%; Memory: 12G; Ping: 102.659
12:54:30; Query_time: 6; CPU: 3.76%%; Memory: 12G; Ping: 13.240
12:54:32; Query_time: 5; CPU: 2.93%%; Memory: 12G; Ping: 109.260
12:54:34; Query_time: 4; CPU: 2.93%%; Memory: 12G; Ping: 99.615
