15:54:17; Query_time: 41; CPU: 3.53%%; Memory: 14G; Ping: 12.026
15:54:19; Query_time: 28; CPU: 3.48%%; Memory: 14G; Ping: 10.817
15:54:21; Query_time: 25; CPU: 2.65%%; Memory: 14G; Ping: 65.448
15:54:23; Query_time: 18; CPU: 4.23%%; Memory: 14G; Ping: 50.330
15:54:25; Query_time: 13; CPU: 4.7%%; Memory: 14G; Ping: 15.472
15:54:27; Query_time: 17; CPU: 4.90%%; Memory: 14G; Ping: 8.803
15:54:29; Query_time: 7; CPU: 3.3%%; Memory: 14G; Ping: 29.200
15:54:31; Query_time: 45; CPU: 3.78%%; Memory: 14G; Ping: 4.155
15:54:33; Query_time: 8; CPU: 4.70%%; Memory: 14G; Ping: 13.045
15:54:36; Query_time: 136; CPU: 4.55%%; Memory: 14G; Ping: 6.554
15:54:38; Query_time: 116; CPU: 4.80%%; Memory: 14G; Ping: 42.220
15:54:40; Query_time: 64; CPU: 3.59%%; Memory: 14G; Ping: 16.829
15:54:42; Query_time: 42; CPU: 3.60%%; Memory: 14G; Ping: 32.940
15:54:44; Query_time: 114; CPU: 3.50%%; Memory: 14G; Ping: 28.565
15:54:46; Query_time: 162; CPU: 3.14%%; Memory: 14G; Ping: 10.118
15:54:48; Query_time: 127; CPU: 5.1%%; Memory: 14G; Ping: 7.740
15:54:50; Query_time: 7; CPU: 4.18%%; Memory: 14G; Ping: 17.049
15:54:52; Query_time: 7; CPU: 3.60%%; Memory: 14G; Ping: 5.781
15:54:54; Query_time: 6; CPU: 3.28%%; Memory: 14G; Ping: 13.465
15:54:56; Query_time: 35; CPU: 3.37%%; Memory: 14G; Ping: 4.722
15:54:58; Query_time: 4; CPU: 3.73%%; Memory: 14G; Ping: 5.427
15:55:00; Query_time: 5; CPU: 5.1%%; Memory: 14G; Ping: 3.507
15:55:02; Query_time: 8; CPU: 3.98%%; Memory: 14G; Ping: 9.787
15:55:04; Query_time: 4; CPU: 4.84%%; Memory: 14G; Ping: 7.129
15:55:06; Query_time: 5; CPU: 4.53%%; Memory: 14G; Ping: 3.547
15:55:08; Query_time: 9; CPU: 5.50%%; Memory: 14G; Ping: 3.375
15:55:10; Query_time: 5; CPU: 6.18%%; Memory: 14G; Ping: 9.664
15:55:12; Query_time: 6; CPU: 3.26%%; Memory: 14G; Ping: 9.662
15:55:14; Query_time: 4; CPU: 3.63%%; Memory: 14G; Ping: 4.399
15:55:16; Query_time: 28; CPU: 3.28%%; Memory: 14G; Ping: 4.973
15:55:18; Query_time: 8; CPU: 4.7%%; Memory: 14G; Ping: 6.825
15:55:20; Query_time: 20; CPU: 3.82%%; Memory: 14G; Ping: 7.244
15:55:22; Query_time: 6; CPU: 4.6%%; Memory: 14G; Ping: 8.868
15:55:24; Query_time: 4; CPU: 4.43%%; Memory: 14G; Ping: 4.014
15:55:26; Query_time: 11; CPU: 3.75%%; Memory: 14G; Ping: 4.631
15:55:28; Query_time: 9; CPU: 3.2%%; Memory: 14G; Ping: 2.614
15:55:30; Query_time: 8; CPU: 3.37%%; Memory: 14G; Ping: 3.532
15:55:32; Query_time: 7; CPU: 4.80%%; Memory: 14G; Ping: 9.534
15:55:34; Query_time: 4; CPU: 4.96%%; Memory: 14G; Ping: 6.787
15:55:36; Query_time: 8; CPU: 4.56%%; Memory: 14G; Ping: 4.938
15:55:38; Query_time: 10; CPU: 5.32%%; Memory: 14G; Ping: 13.708
15:55:40; Query_time: 11; CPU: 3.38%%; Memory: 14G; Ping: 5.557
15:55:42; Query_time: 4; CPU: 3.16%%; Memory: 14G; Ping: 5.158
15:55:44; Query_time: 4; CPU: 3.25%%; Memory: 14G; Ping: 10.206
15:55:46; Query_time: 6; CPU: 3.15%%; Memory: 14G; Ping: 12.876
15:55:48; Query_time: 12; CPU: 3.26%%; Memory: 14G; Ping: 3.541
15:55:50; Query_time: 11; CPU: 4.41%%; Memory: 14G; Ping: 6.376
